,Created_At,Tweet_Id,Username,Text,Sentimen
0,2020-12-31 23:57:53+00:00,1.34479494122286E+018,estitami5,"b'Semoga Undang-Undang Cipta Kerja Omnibus Law bisa dipahami masyarakat, dan masyarakat ikut ambil bagian dalam transformasi ekonomi, UU Cipta kerja merupakan transformasi struktural ekonomi nasional Indonesia\nOBL Perkuat Digitalisasi UMKM\n#KembangkanEkonomiDigital https://t.co/Q7hzi326YX'",positif
1,2020-12-31 23:55:39+00:00,1.3447943785654E+018,Didiek09165668,"b'@wdtu Tentu perlu perjuangan panjang. Minimal peningkatan pendidikan sampai ke pelosok2 dg qualitas yg terukur sambil memperbaiki sistim ekonomi khas Indonesia yg Pacasila. Butuh pemimpin2 yg hebat, tdk hrs Profesor namun paham tujuan didirikannya NKRI. Semangat 2021'",positif
2,2020-12-31 23:54:05+00:00,1.3447939826566E+018,SelamatBahagia2,b'Markas Besar TNI perlu mengembangkan Industri Militer untuk memenuhi kebutuhan militer dalam negeri dan untuk ekspor. Dampaknya gerbong ekonomi Indonesia bisa berjalan dan lapangan kerja baru terbuka. Agar Indonesia selamat dan bahagia.',positif
3,2020-12-31 23:49:50+00:00,1.34479291351181E+018,Ekonomi4_0,b'Potensi ekonomi digital Indonesia perlu didukung dengan investasi untuk pemerataan aksesnya. UU Cipta Kerja dukung pemerataan digitalisasi ekonomi Indonesia\n#KembangkanEkonomiDigital\n#BarisanProKerja https://t.co/kvNO4mKNjR',positif
4,2020-12-31 23:49:20+00:00,1.34479278716253E+018,LorrettaOmos531,b'Kemudahan investasi dalam UU Cipta Kerja akan majukan ekosistem digital di Indonesia. Ini\nbagus untuk inklusivitas teknologi dan kemajuan ekonomi yang bermanfaat bagi masyarakat.\nOBL Perkuat Digitalisasi UMKM  #KembangkanEkonomiDigital\nhttps://t.co/EMaYM8RgpY',positif
5,2020-12-31 23:46:11+00:00,1.34479199619236E+018,KejatiK,"b'Jaksa Agung RI. ST, Burhanuddin\nMengucapkan \nSelamat Tahun Baru 2021.\n\nMari kita songsong tahun baru dengan rasa optimis dan semangat baru untuk memulihkan\nEkonomi Indonesia\n\n"" Terus Bergerak dan Berkarya "".\n\nSalam Sehat, Tetap Dirumah Patuhi Protokol Kesehatan. https://t.co/KMop50OLM8'",positif
6,2020-12-31 23:45:14+00:00,1.34479175798526E+018,idntimes,b'Ekonomi Indonesia diyakini bangkit di 2021 https://t.co/obPUcmulSM',positif
7,2020-12-31 23:44:05+00:00,1.3447914689306E+018,HokiKuaci,"b'Iklim ramah investasi dan kemudahan berusaha UU Cipta Kerja adalah dukungan penting bagi\nkewirausahaan digital. Investasi masuk, sistem ekonomi digital Indonesia berkembang.\n#KembangkanEkonomiDigital\n#BarisanProKerja https://t.co/8RtsJO51Og'",positif
8,2020-12-31 23:44:04+00:00,1.34479146271456E+018,Ekonomi4_0,"b'Berkat UU Cipta Kerja, banyak investor global tertarik berinvestasi dalam pembangunan infrastruktur digital. Ini adalah langkah besar untuk penguatan ekonomi digital di Indonesia.\n#KembangkanEkonomiDigital\n#BarisanProKerja https://t.co/Ydce0UpdZQ'",positif
9,2020-12-31 23:43:49+00:00,1.34479140176721E+018,Lion33432792,b'Selamat tahun baru pak @jokowi \nSmg tahun ini ekonomi bangsa Indonesia lebih baik lg.\nSmg BPK dan keluarga selalu sehat \xf0\x9f\x98\x87\xf0\x9f\x99\x8f https://t.co/CCs0qFI6HT',positif
